"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"57","Jiri Vesely",0.333333333333333,0.716012084592145,0.369357970003965,0.484210526315789,0.0998080614203455,1.43926553672316,0.0959692898272553,0.0582329317269076,0.66,25.54277891855,0.0441458733205374,0,92.5,86.8333333333333
"58","Jo-Wilfried Tsonga",0.580645161290323,0.796554009277667,0.390402228146878,0.517418032786885,0.137625754527163,1.41864455247355,0.069215291750503,0.0626009693053312,0.691860465116279,34.3140138217323,0.0289738430583501,1,62.0645161290323,80.1612903225806
"59","Joao Sousa",0.456140350877193,0.703767715174559,0.38435950791445,0.49517867271696,0.0597079037800687,1.44447929736512,0.0904209621993127,0.0788317962231006,0.608076009501188,30.1809623305298,0.0221219931271478,1,55.5263157894737,84.6545454545455
"60","John Isner",0.630434782608696,0.811419984973704,0.290107018899538,0.573320719016083,0.269696154880344,1.5149950347567,0.0360311911804248,0.052698899974418,0.723880597014925,34.0864208552891,0.0215111589136865,1,12.5217391304348,80.8478260869565
"61","John Millman",0.4375,0.697585768742058,0.39076758544037,0.545036160420776,0.056156620298815,1.44262603461249,0.0824317362184441,0.0821230525481912,0.621875,29.9553388090271,0.0221535291087069,1,53.5625,80.875
"62","Jordan Thompson",0.531914893617021,0.714502082544491,0.33159384375592,0.506454062262718,0.072511369378474,1.3933960589384,0.0765538150581102,0.0832690824980725,0.627062706270627,25.0476065650085,0.022233451237999,1,62.3617021276596,84.2127659574468
"63","Juan Ignacio Londero",0.447368421052632,0.701829924650161,0.395347092031536,0.546047269763651,0.0560777957860616,1.49015842534806,0.086547811993517,0.0858149215497919,0.625468164794007,25.8406282647,0.0356564019448947,1,66.3947368421053,81.1842105263158
"64","Juan Martin del Potro",0.666666666666667,0.764792899408284,0.35145627700631,0.5,0.124045801526718,1.37210796915167,0.049618320610687,0.100275988960442,0.634615384615385,30.5954825461833,0.0305343511450382,1,7.91666666666667,87.3333333333333
"65","Kamil Majchrzak",0.5,0.721189591078067,0.420374993964348,0.561224489795918,0.0752688172043011,1.53932584269663,0.0774193548387097,0.0587044534412955,0.555555555555556,23.65023956195,0.0473118279569892,1,93.25,116.25
"66","Karen Khachanov",0.5,0.729377241604173,0.374003080473942,0.527580557072638,0.0892200898325847,1.45959230880439,0.0765618619844835,0.0738745671412082,0.634666666666667,23.0801293398414,0.0355247039608003,1,10.7758620689655,84.448275862069
"67","Kei Nishikori",0.675,0.695444685466377,0.36492599520924,0.533834586466165,0.0343878954607978,1.40771558245083,0.0792297111416781,0.103701758991861,0.590277777777778,29.2984941820675,0.0299862448418157,1,7.1,90.875
"68","Kevin Anderson",0.733333333333333,0.790919952210275,0.369353891395632,0.529774127310062,0.178247734138973,1.37621235324145,0.0664652567975831,0.0743440233236152,0.715909090909091,32.8438056125933,0.0302114803625378,1,6.93333333333333,88.2666666666667
"69","Kyle Edmund",0.447368421052632,0.719864176570458,0.372066211932162,0.523764258555133,0.0748492373181979,1.42890025575448,0.0748492373181979,0.0740606936416185,0.587677725118483,24.4698296048158,0.0262504434196524,1,35.7368421052632,74.1842105263158
"70","Laslo Djere",0.48780487804878,0.702064896755162,0.39275172927258,0.499236641221374,0.0675837320574163,1.40418848167539,0.0864234449760766,0.0850937221065159,0.591695501730104,23.9218710872829,0.0373803827751196,1,44.7317073170732,81.5609756097561
"71","Leonardo Mayer",0.470588235294118,0.749163879598662,0.41724108805052,0.533177205308353,0.0868292682926829,1.40549750113585,0.0699186991869919,0.0645886889460154,0.623255813953488,31.9105366992618,0.055609756097561,1,60.3823529411765,90.4411764705882
"72","Lloyd Harris",0.333333333333333,0.698433420365535,0.390883867922465,0.452830188679245,0.104585679806919,1.4898210980876,0.0941271118262269,0.0639931740614334,0.555555555555556,22.28245493954,0.0386162510056315,1,93.4666666666667,82.8666666666667
"73","Lorenzo Sonego",0.451612903225806,0.740948813982522,0.35552089991611,0.51063829787234,0.0869739478957916,1.34734273318872,0.0749498997995992,0.0642683912691997,0.631016042780749,24.1742509549323,0.0216432865731463,1,64.6451612903226,80.4838709677419
"74","Lucas Pouille",0.5,0.728744939271255,0.415831095178712,0.530051150895141,0.0800105624504885,1.55817875210793,0.0749933984684447,0.0740638002773925,0.633802816901408,25.2913529545952,0.0406654343807763,1,27.7142857142857,90.1666666666667
"75","Mackenzie McDonald",0.454545454545455,0.676523297491039,0.379968976965271,0.509516837481698,0.0533629794330183,1.50106337728626,0.103946637020567,0.0728323699421965,0.636363636363636,23.9040507746818,0.0311284046692607,1,70.2727272727273,81.7727272727273
"76","Malek Jaziri",0.315789473684211,0.681718061674009,0.431703859979087,0.471328671328671,0.0338878619839803,1.41779584462511,0.0979667282809612,0.0718997361477573,0.59748427672956,35.1668287762474,0.0388170055452865,1,62.3684210526316,85.4210526315789
"77","Marcel Granollers",0.428571428571429,0.751572327044025,0.319370009978885,0.56687898089172,0.0736842105263158,1.41908713692946,0.0547368421052632,0.0689655172413793,0.5,33.2210814510714,0.0273684210526316,1,97,67.8571428571429
"78","Marco Cecchinato",0.285714285714286,0.688311688311688,0.356342473956244,0.493731918997107,0.0610051993067591,1.52290889717635,0.0845753899480069,0.0681497175141243,0.561475409836066,26.5932922655714,0.0329289428076256,1,32.7714285714286,82.4285714285714
"79","Marin Cilic",0.536585365853659,0.771308802980904,0.416860083564586,0.479045776918117,0.107084910762574,1.38383838383838,0.0773391022174148,0.0816727476845355,0.65034965034965,30.737450126039,0.0554353704705246,1,16.5365853658537,90.1951219512195
"80","Marius Copil",0.285714285714286,0.742559523809524,0.428487203126987,0.493951612903226,0.125856164383562,1.48843271423917,0.0898972602739726,0.0564516129032258,0.604761904761905,28.6023271731679,0.0376712328767123,1,79.0357142857143,89.8461538461538
